Device: mps
Compute dtype: torch.float32
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 4.561382e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011057 | lrm: 1.00 | dt: 1032ms | tok/sec: 15,880 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.970252 | lrm: 1.00 | dt: 783ms | tok/sec: 20,924 | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.768026 | lrm: 1.00 | dt: 784ms | tok/sec: 20,909 | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.490363 | lrm: 1.00 | dt: 774ms | tok/sec: 21,161 | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.263239 | lrm: 1.00 | dt: 768ms | tok/sec: 21,342 | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.035433 | lrm: 1.00 | dt: 775ms | tok/sec: 21,138 | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.849187 | lrm: 1.00 | dt: 780ms | tok/sec: 20,994 | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.650688 | lrm: 1.00 | dt: 788ms | tok/sec: 20,794 | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.498568 | lrm: 1.00 | dt: 893ms | tok/sec: 18,348 | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.378754 | lrm: 1.00 | dt: 794ms | tok/sec: 20,622 | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.242916 | lrm: 1.00 | dt: 820ms | tok/sec: 19,982 | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.130106 | lrm: 1.00 | dt: 817ms | tok/sec: 20,045 | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.056724 | lrm: 1.00 | dt: 800ms | tok/sec: 20,485 | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.957448 | lrm: 1.00 | dt: 812ms | tok/sec: 20,170 | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.889864 | lrm: 1.00 | dt: 825ms | tok/sec: 19,860 | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.822036 | lrm: 1.00 | dt: 807ms | tok/sec: 20,294 | epoch: 1 | remaining: 296s    
step 00179 (45.7%) | loss: 5.082863 | lrm: 1.00 | dt: 842ms | tok/sec: 19,452 | epoch: 1 | remaining: 162s    
step 00180 (46.0%) | loss: 5.071484 | lrm: 1.00 | dt: 835ms | tok/sec: 19,627 | epoch: 1 | remaining: 161s    
step 00181 (46.3%) | loss: 5.054006 | lrm: 1.00 | dt: 837ms | tok/sec: 19,565 | epoch: 1 | remaining: 160s    
step 00182 (46.5%) | loss: 5.046627 | lrm: 1.00 | dt: 829ms | tok/sec: 19,756 | epoch: 1 | remaining: 160s    
step 00183 (46.8%) | loss: 5.048276 | lrm: 1.00 | dt: 835ms | tok/sec: 19,616 | epoch: 1 | remaining: 159s    
step 00184 (47.1%) | loss: 5.060044 | lrm: 1.00 | dt: 830ms | tok/sec: 19,740 | epoch: 1 | remaining: 158s    
step 00185 (47.4%) | loss: 5.056599 | lrm: 1.00 | dt: 846ms | tok/sec: 19,372 | epoch: 1 | remaining: 157s    
step 00186 (47.7%) | loss: 5.062011 | lrm: 1.00 | dt: 852ms | tok/sec: 19,232 | epoch: 1 | remaining: 156s    
step 00187 (47.9%) | loss: 5.051342 | lrm: 1.00 | dt: 853ms | tok/sec: 19,197 | epoch: 1 | remaining: 155s    
step 00188 (48.2%) | loss: 5.018800 | lrm: 1.00 | dt: 839ms | tok/sec: 19,531 | epoch: 1 | remaining: 155s    
step 00189 (48.5%) | loss: 5.005822 | lrm: 1.00 | dt: 840ms | tok/sec: 19,505 | epoch: 1 | remaining: 154s    
step 00190 (48.8%) | loss: 5.002196 | lrm: 1.00 | dt: 842ms | tok/sec: 19,451 | epoch: 1 | remaining: 153s    
step 00191 (49.1%) | loss: 5.002890 | lrm: 1.00 | dt: 830ms | tok/sec: 19,730 | epoch: 1 | remaining: 152s    
step 00192 (49.3%) | loss: 5.002583 | lrm: 1.00 | dt: 832ms | tok/sec: 19,690 | epoch: 1 | remaining: 151s    
step 00193 (49.6%) | loss: 5.008795 | lrm: 1.00 | dt: 829ms | tok/sec: 19,756 | epoch: 1 | remaining: 150s    
step 00194 (49.9%) | loss: 4.995338 | lrm: 1.00 | dt: 821ms | tok/sec: 19,963 | epoch: 1 | remaining: 150s    
step 00195 (50.2%) | loss: 4.998902 | lrm: 1.00 | dt: 823ms | tok/sec: 19,900 | epoch: 1 | remaining: 149s    
step 00196 (50.4%) | loss: 4.984195 | lrm: 1.00 | dt: 833ms | tok/sec: 19,677 | epoch: 1 | remaining: 148s    
step 00197 (50.7%) | loss: 4.971008 | lrm: 1.00 | dt: 821ms | tok/sec: 19,958 | epoch: 1 | remaining: 147s    
step 00198 (51.0%) | loss: 4.973376 | lrm: 1.00 | dt: 833ms | tok/sec: 19,657 | epoch: 1 | remaining: 146s    
step 00199 (51.3%) | loss: 4.958051 | lrm: 1.00 | dt: 825ms | tok/sec: 19,856 | epoch: 1 | remaining: 145s    
step 00200 (51.5%) | loss: 4.941354 | lrm: 1.00 | dt: 819ms | tok/sec: 20,009 | epoch: 1 | remaining: 145s    
step 00201 (51.8%) | loss: 4.934264 | lrm: 1.00 | dt: 836ms | tok/sec: 19,599 | epoch: 1 | remaining: 144s    
step 00202 (52.1%) | loss: 4.930379 | lrm: 1.00 | dt: 812ms | tok/sec: 20,181 | epoch: 1 | remaining: 143s    
step 00203 (52.4%) | loss: 4.914649 | lrm: 1.00 | dt: 825ms | tok/sec: 19,853 | epoch: 1 | remaining: 142s    
step 00204 (52.6%) | loss: 4.906615 | lrm: 1.00 | dt: 816ms | tok/sec: 20,082 | epoch: 1 | remaining: 141s    
step 00205 (52.9%) | loss: 4.912279 | lrm: 1.00 | dt: 832ms | tok/sec: 19,687 | epoch: 1 | remaining: 140s    
step 00206 (53.2%) | loss: 4.916084 | lrm: 1.00 | dt: 815ms | tok/sec: 20,109 | epoch: 1 | remaining: 140s    
step 00207 (53.5%) | loss: 4.912444 | lrm: 1.00 | dt: 821ms | tok/sec: 19,966 | epoch: 1 | remaining: 139s    
step 00208 (53.7%) | loss: 4.910918 | lrm: 1.00 | dt: 820ms | tok/sec: 19,970 | epoch: 1 | remaining: 138s    
step 00209 (54.0%) | loss: 4.912531 | lrm: 1.00 | dt: 822ms | tok/sec: 19,937 | epoch: 1 | remaining: 137s    
step 00210 (54.3%) | loss: 4.916126 | lrm: 1.00 | dt: 813ms | tok/sec: 20,158 | epoch: 1 | remaining: 136s    
step 00211 (54.6%) | loss: 4.905956 | lrm: 1.00 | dt: 819ms | tok/sec: 19,999 | epoch: 1 | remaining: 136s    
step 00212 (54.8%) | loss: 4.902129 | lrm: 1.00 | dt: 829ms | tok/sec: 19,767 | epoch: 1 | remaining: 135s    
step 00213 (55.1%) | loss: 4.905481 | lrm: 1.00 | dt: 1371ms | tok/sec: 11,952 | epoch: 1 | remaining: 133s    
step 00214 (55.6%) | loss: 4.883495 | lrm: 1.00 | dt: 795ms | tok/sec: 20,610 | epoch: 1 | remaining: 133s    
step 00215 (55.8%) | loss: 4.870312 | lrm: 1.00 | dt: 849ms | tok/sec: 19,290 | epoch: 1 | remaining: 132s    
step 00216 (56.1%) | loss: 4.873067 | lrm: 1.00 | dt: 790ms | tok/sec: 20,745 | epoch: 1 | remaining: 131s    
step 00217 (56.4%) | loss: 4.874665 | lrm: 1.00 | dt: 793ms | tok/sec: 20,669 | epoch: 1 | remaining: 130s    
step 00218 (56.6%) | loss: 4.871578 | lrm: 1.00 | dt: 793ms | tok/sec: 20,653 | epoch: 1 | remaining: 129s    
step 00219 (56.9%) | loss: 4.863132 | lrm: 1.00 | dt: 791ms | tok/sec: 20,705 | epoch: 1 | remaining: 129s    
step 00220 (57.2%) | loss: 4.868440 | lrm: 1.00 | dt: 801ms | tok/sec: 20,467 | epoch: 1 | remaining: 128s    
step 00221 (57.4%) | loss: 4.861934 | lrm: 1.00 | dt: 793ms | tok/sec: 20,655 | epoch: 1 | remaining: 127s    
step 00222 (57.7%) | loss: 4.865706 | lrm: 1.00 | dt: 788ms | tok/sec: 20,787 | epoch: 1 | remaining: 126s    
step 00223 (58.0%) | loss: 4.872886 | lrm: 1.00 | dt: 793ms | tok/sec: 20,647 | epoch: 1 | remaining: 125s    
step 00224 (58.2%) | loss: 4.876010 | lrm: 1.00 | dt: 793ms | tok/sec: 20,657 | epoch: 1 | remaining: 125s    
step 00225 (58.5%) | loss: 4.891358 | lrm: 1.00 | dt: 784ms | tok/sec: 20,906 | epoch: 1 | remaining: 124s    
step 00226 (58.7%) | loss: 4.888450 | lrm: 1.00 | dt: 784ms | tok/sec: 20,894 | epoch: 1 | remaining: 123s    
step 00227 (59.0%) | loss: 4.885304 | lrm: 1.00 | dt: 788ms | tok/sec: 20,789 | epoch: 1 | remaining: 122s    
step 00228 (59.3%) | loss: 4.870743 | lrm: 1.00 | dt: 789ms | tok/sec: 20,772 | epoch: 1 | remaining: 121s    
step 00229 (59.5%) | loss: 4.882062 | lrm: 1.00 | dt: 795ms | tok/sec: 20,615 | epoch: 1 | remaining: 121s    
step 00230 (59.8%) | loss: 4.846594 | lrm: 1.00 | dt: 796ms | tok/sec: 20,584 | epoch: 1 | remaining: 120s    
step 00231 (60.1%) | loss: 4.834597 | lrm: 1.00 | dt: 802ms | tok/sec: 20,427 | epoch: 1 | remaining: 119s    
step 00232 (60.3%) | loss: 4.817429 | lrm: 1.00 | dt: 787ms | tok/sec: 20,822 | epoch: 1 | remaining: 118s    
step 00233 (60.6%) | loss: 4.809203 | lrm: 1.00 | dt: 795ms | tok/sec: 20,605 | epoch: 1 | remaining: 117s    
step 00234 (60.9%) | loss: 4.794163 | lrm: 1.00 | dt: 806ms | tok/sec: 20,340 | epoch: 1 | remaining: 117s    
step 00235 (61.1%) | loss: 4.781125 | lrm: 1.00 | dt: 809ms | tok/sec: 20,255 | epoch: 1 | remaining: 116s    
step 00236 (61.4%) | loss: 4.789290 | lrm: 1.00 | dt: 817ms | tok/sec: 20,062 | epoch: 1 | remaining: 115s    
step 00237 (61.7%) | loss: 4.780365 | lrm: 1.00 | dt: 799ms | tok/sec: 20,508 | epoch: 1 | remaining: 114s    
step 00238 (61.9%) | loss: 4.767223 | lrm: 1.00 | dt: 815ms | tok/sec: 20,099 | epoch: 1 | remaining: 113s    
step 00239 (62.2%) | loss: 4.772544 | lrm: 1.00 | dt: 946ms | tok/sec: 17,313 | epoch: 1 | remaining: 112s    
step 00240 (62.5%) | loss: 4.756501 | lrm: 1.00 | dt: 1062ms | tok/sec: 15,432 | epoch: 1 | remaining: 111s    
step 00241 (62.9%) | loss: 4.744969 | lrm: 1.00 | dt: 840ms | tok/sec: 19,497 | epoch: 1 | remaining: 111s    
step 00242 (63.2%) | loss: 4.737288 | lrm: 1.00 | dt: 834ms | tok/sec: 19,643 | epoch: 1 | remaining: 110s    
step 00243 (63.4%) | loss: 4.740855 | lrm: 1.00 | dt: 855ms | tok/sec: 19,154 | epoch: 1 | remaining: 109s    
step 00244 (63.7%) | loss: 4.732840 | lrm: 1.00 | dt: 846ms | tok/sec: 19,358 | epoch: 1 | remaining: 108s    
step 00245 (64.0%) | loss: 4.724553 | lrm: 1.00 | dt: 861ms | tok/sec: 19,037 | epoch: 1 | remaining: 107s    
step 00246 (64.3%) | loss: 4.724357 | lrm: 1.00 | dt: 877ms | tok/sec: 18,673 | epoch: 1 | remaining: 106s    
step 00247 (64.6%) | loss: 4.704331 | lrm: 1.00 | dt: 880ms | tok/sec: 18,617 | epoch: 1 | remaining: 105s    
step 00248 (64.9%) | loss: 4.701906 | lrm: 1.00 | dt: 819ms | tok/sec: 20,009 | epoch: 1 | remaining: 105s    
step 00249 (65.1%) | loss: 4.689810 | lrm: 1.00 | dt: 857ms | tok/sec: 19,123 | epoch: 1 | remaining: 104s    
step 00250 (65.4%) | loss: 4.688338 | lrm: 1.00 | dt: 850ms | tok/sec: 19,280 | epoch: 1 | remaining: 103s    
step 00251 (65.7%) | loss: 4.700963 | lrm: 1.00 | dt: 837ms | tok/sec: 19,573 | epoch: 1 | remaining: 102s    
step 00252 (66.0%) | loss: 4.678748 | lrm: 1.00 | dt: 820ms | tok/sec: 19,977 | epoch: 1 | remaining: 101s    
step 00253 (66.3%) | loss: 4.672014 | lrm: 1.00 | dt: 838ms | tok/sec: 19,562 | epoch: 1 | remaining: 100s    
step 00254 (66.5%) | loss: 4.655736 | lrm: 1.00 | dt: 829ms | tok/sec: 19,763 | epoch: 1 | remaining: 100s    
step 00255 (66.8%) | loss: 4.658631 | lrm: 1.00 | dt: 842ms | tok/sec: 19,447 | epoch: 1 | remaining: 99s    
step 00256 (67.1%) | loss: 4.646675 | lrm: 1.00 | dt: 827ms | tok/sec: 19,812 | epoch: 1 | remaining: 98s    
step 00257 (67.4%) | loss: 4.630547 | lrm: 1.00 | dt: 850ms | tok/sec: 19,273 | epoch: 1 | remaining: 97s    
step 00258 (67.7%) | loss: 4.626187 | lrm: 1.00 | dt: 842ms | tok/sec: 19,466 | epoch: 1 | remaining: 96s    
step 00259 (67.9%) | loss: 4.621858 | lrm: 1.00 | dt: 828ms | tok/sec: 19,790 | epoch: 1 | remaining: 95s    
step 00260 (68.2%) | loss: 4.618781 | lrm: 1.00 | dt: 847ms | tok/sec: 19,340 | epoch: 1 | remaining: 94s    
step 00261 (68.5%) | loss: 4.609701 | lrm: 1.00 | dt: 846ms | tok/sec: 19,374 | epoch: 1 | remaining: 94s    
step 00262 (68.8%) | loss: 4.610961 | lrm: 1.00 | dt: 839ms | tok/sec: 19,519 | epoch: 1 | remaining: 93s    
step 00263 (69.1%) | loss: 4.582395 | lrm: 1.00 | dt: 841ms | tok/sec: 19,470 | epoch: 1 | remaining: 92s    
step 00264 (69.3%) | loss: 4.579772 | lrm: 1.00 | dt: 849ms | tok/sec: 19,296 | epoch: 1 | remaining: 91s    
step 00265 (69.6%) | loss: 4.590370 | lrm: 1.00 | dt: 844ms | tok/sec: 19,409 | epoch: 1 | remaining: 90s    
step 00266 (69.9%) | loss: 4.573917 | lrm: 1.00 | dt: 847ms | tok/sec: 19,337 | epoch: 1 | remaining: 89s    
step 00267 (70.2%) | loss: 4.574317 | lrm: 1.00 | dt: 849ms | tok/sec: 19,301 | epoch: 1 | remaining: 89s    
step 00268 (70.5%) | loss: 4.590226 | lrm: 1.00 | dt: 841ms | tok/sec: 19,486 | epoch: 1 | remaining: 88s    
step 00269 (70.8%) | loss: 4.592869 | lrm: 1.00 | dt: 886ms | tok/sec: 18,496 | epoch: 1 | remaining: 87s    
step 00270 (71.0%) | loss: 4.589458 | lrm: 1.00 | dt: 852ms | tok/sec: 19,227 | epoch: 1 | remaining: 86s    
step 00271 (71.3%) | loss: 4.592528 | lrm: 1.00 | dt: 877ms | tok/sec: 18,680 | epoch: 1 | remaining: 85s    
step 00272 (71.6%) | loss: 4.605435 | lrm: 1.00 | dt: 843ms | tok/sec: 19,429 | epoch: 1 | remaining: 84s    
step 00273 (71.9%) | loss: 4.585417 | lrm: 1.00 | dt: 842ms | tok/sec: 19,460 | epoch: 1 | remaining: 83s    
step 00274 (72.2%) | loss: 4.578037 | lrm: 1.00 | dt: 827ms | tok/sec: 19,810 | epoch: 1 | remaining: 83s    
step 00275 (72.5%) | loss: 4.570211 | lrm: 1.00 | dt: 833ms | tok/sec: 19,664 | epoch: 1 | remaining: 82s    
step 00276 (72.7%) | loss: 4.564435 | lrm: 1.00 | dt: 833ms | tok/sec: 19,665 | epoch: 1 | remaining: 81s    
step 00277 (73.0%) | loss: 4.542112 | lrm: 1.00 | dt: 841ms | tok/sec: 19,473 | epoch: 1 | remaining: 80s    
step 00278 (73.3%) | loss: 4.519418 | lrm: 1.00 | dt: 804ms | tok/sec: 20,368 | epoch: 1 | remaining: 79s    
step 00279 (73.6%) | loss: 4.511906 | lrm: 1.00 | dt: 828ms | tok/sec: 19,794 | epoch: 1 | remaining: 78s    
step 00280 (73.8%) | loss: 4.492372 | lrm: 1.00 | dt: 837ms | tok/sec: 19,573 | epoch: 1 | remaining: 78s    
step 00281 (74.1%) | loss: 4.493028 | lrm: 1.00 | dt: 805ms | tok/sec: 20,362 | epoch: 1 | remaining: 77s    
step 00282 (74.4%) | loss: 4.462986 | lrm: 1.00 | dt: 799ms | tok/sec: 20,511 | epoch: 1 | remaining: 76s    
step 00283 (74.7%) | loss: 4.475383 | lrm: 1.00 | dt: 832ms | tok/sec: 19,695 | epoch: 1 | remaining: 75s    
step 00284 (74.9%) | loss: 4.488777 | lrm: 1.00 | dt: 824ms | tok/sec: 19,872 | epoch: 1 | remaining: 74s    
step 00285 (75.2%) | loss: 4.486046 | lrm: 1.00 | dt: 800ms | tok/sec: 20,469 | epoch: 1 | remaining: 74s    
step 00286 (75.5%) | loss: 4.493842 | lrm: 1.00 | dt: 796ms | tok/sec: 20,593 | epoch: 1 | remaining: 73s    
step 00287 (75.7%) | loss: 4.478515 | lrm: 1.00 | dt: 822ms | tok/sec: 19,935 | epoch: 1 | remaining: 72s    
step 00288 (76.0%) | loss: 4.492941 | lrm: 1.00 | dt: 833ms | tok/sec: 19,663 | epoch: 1 | remaining: 71s    
step 00289 (76.3%) | loss: 4.508892 | lrm: 0.99 | dt: 813ms | tok/sec: 20,141 | epoch: 1 | remaining: 70s    
step 00290 (76.6%) | loss: 4.526067 | lrm: 0.98 | dt: 803ms | tok/sec: 20,415 | epoch: 1 | remaining: 70s    
step 00291 (76.8%) | loss: 4.521395 | lrm: 0.97 | dt: 803ms | tok/sec: 20,391 | epoch: 1 | remaining: 69s    
step 00292 (77.1%) | loss: 4.514363 | lrm: 0.96 | dt: 796ms | tok/sec: 20,582 | epoch: 1 | remaining: 68s    
step 00293 (77.4%) | loss: 4.521507 | lrm: 0.95 | dt: 800ms | tok/sec: 20,491 | epoch: 1 | remaining: 67s    
step 00294 (77.6%) | loss: 4.540542 | lrm: 0.94 | dt: 801ms | tok/sec: 20,466 | epoch: 1 | remaining: 66s    
step 00295 (77.9%) | loss: 4.497917 | lrm: 0.93 | dt: 790ms | tok/sec: 20,749 | epoch: 1 | remaining: 66s    
step 00296 (78.2%) | loss: 4.489098 | lrm: 0.92 | dt: 797ms | tok/sec: 20,559 | epoch: 1 | remaining: 65s    
step 00297 (78.4%) | loss: 4.467526 | lrm: 0.90 | dt: 792ms | tok/sec: 20,692 | epoch: 1 | remaining: 64s    
step 00298 (78.7%) | loss: 4.481484 | lrm: 0.89 | dt: 789ms | tok/sec: 20,766 | epoch: 1 | remaining: 63s    
step 00299 (79.0%) | loss: 4.456168 | lrm: 0.88 | dt: 798ms | tok/sec: 20,521 | epoch: 1 | remaining: 62s    
step 00300 (79.2%) | loss: 4.441766 | lrm: 0.87 | dt: 794ms | tok/sec: 20,636 | epoch: 1 | remaining: 62s    
step 00301 (79.5%) | loss: 4.444833 | lrm: 0.86 | dt: 799ms | tok/sec: 20,498 | epoch: 1 | remaining: 61s    
step 00302 (79.8%) | loss: 4.423126 | lrm: 0.85 | dt: 802ms | tok/sec: 20,428 | epoch: 1 | remaining: 60s    
step 00303 (80.0%) | loss: 4.423147 | lrm: 0.84 | dt: 792ms | tok/sec: 20,682 | epoch: 1 | remaining: 59s    
step 00304 (80.3%) | loss: 4.426476 | lrm: 0.83 | dt: 800ms | tok/sec: 20,477 | epoch: 1 | remaining: 58s    
step 00305 (80.5%) | loss: 4.412120 | lrm: 0.82 | dt: 807ms | tok/sec: 20,310 | epoch: 1 | remaining: 58s    
step 00306 (80.8%) | loss: 4.422694 | lrm: 0.81 | dt: 832ms | tok/sec: 19,691 | epoch: 1 | remaining: 57s    
step 00307 (81.1%) | loss: 4.415721 | lrm: 0.80 | dt: 821ms | tok/sec: 19,956 | epoch: 1 | remaining: 56s    
step 00308 (81.4%) | loss: 4.416998 | lrm: 0.79 | dt: 806ms | tok/sec: 20,324 | epoch: 1 | remaining: 55s    
step 00309 (81.6%) | loss: 4.408433 | lrm: 0.78 | dt: 785ms | tok/sec: 20,868 | epoch: 1 | remaining: 54s    
step 00310 (81.9%) | loss: 4.414766 | lrm: 0.77 | dt: 796ms | tok/sec: 20,589 | epoch: 1 | remaining: 54s    
step 00311 (82.2%) | loss: 4.402791 | lrm: 0.76 | dt: 798ms | tok/sec: 20,536 | epoch: 1 | remaining: 53s    
step 00312 (82.4%) | loss: 4.410056 | lrm: 0.75 | dt: 792ms | tok/sec: 20,688 | epoch: 1 | remaining: 52s    
step 00313 (82.7%) | loss: 4.425382 | lrm: 0.74 | dt: 792ms | tok/sec: 20,687 | epoch: 1 | remaining: 51s    
step 00314 (83.0%) | loss: 4.425100 | lrm: 0.73 | dt: 804ms | tok/sec: 20,373 | epoch: 1 | remaining: 50s    
step 00315 (83.2%) | loss: 4.434283 | lrm: 0.72 | dt: 809ms | tok/sec: 20,255 | epoch: 1 | remaining: 50s    
step 00316 (83.5%) | loss: 4.420529 | lrm: 0.71 | dt: 803ms | tok/sec: 20,401 | epoch: 1 | remaining: 49s    
step 00317 (83.8%) | loss: 4.417897 | lrm: 0.70 | dt: 804ms | tok/sec: 20,387 | epoch: 1 | remaining: 48s    
step 00318 (84.0%) | loss: 4.422517 | lrm: 0.69 | dt: 851ms | tok/sec: 19,249 | epoch: 1 | remaining: 47s    
step 00319 (84.3%) | loss: 4.397071 | lrm: 0.67 | dt: 854ms | tok/sec: 19,191 | epoch: 1 | remaining: 46s    
step 00320 (84.6%) | loss: 4.379142 | lrm: 0.66 | dt: 854ms | tok/sec: 19,187 | epoch: 1 | remaining: 45s    
step 00321 (84.9%) | loss: 4.375684 | lrm: 0.65 | dt: 874ms | tok/sec: 18,751 | epoch: 1 | remaining: 44s    
step 00322 (85.2%) | loss: 4.381741 | lrm: 0.64 | dt: 860ms | tok/sec: 19,059 | epoch: 1 | remaining: 44s    
step 00323 (85.5%) | loss: 4.370994 | lrm: 0.63 | dt: 854ms | tok/sec: 19,183 | epoch: 1 | remaining: 43s    
step 00324 (85.7%) | loss: 4.378700 | lrm: 0.62 | dt: 854ms | tok/sec: 19,194 | epoch: 1 | remaining: 42s    
step 00325 (86.0%) | loss: 4.368550 | lrm: 0.61 | dt: 851ms | tok/sec: 19,260 | epoch: 1 | remaining: 41s    
step 00326 (86.3%) | loss: 4.350814 | lrm: 0.60 | dt: 865ms | tok/sec: 18,948 | epoch: 1 | remaining: 40s    
step 00327 (86.6%) | loss: 4.345480 | lrm: 0.58 | dt: 862ms | tok/sec: 19,011 | epoch: 1 | remaining: 39s    
step 00328 (86.9%) | loss: 4.345805 | lrm: 0.57 | dt: 854ms | tok/sec: 19,183 | epoch: 1 | remaining: 38s    
step 00329 (87.2%) | loss: 4.340729 | lrm: 0.56 | dt: 852ms | tok/sec: 19,233 | epoch: 1 | remaining: 38s    
step 00330 (87.5%) | loss: 4.336368 | lrm: 0.55 | dt: 851ms | tok/sec: 19,251 | epoch: 1 | remaining: 37s    
step 00331 (87.7%) | loss: 4.307987 | lrm: 0.54 | dt: 860ms | tok/sec: 19,042 | epoch: 1 | remaining: 36s    
step 00332 (88.0%) | loss: 4.289922 | lrm: 0.53 | dt: 854ms | tok/sec: 19,193 | epoch: 1 | remaining: 35s    
step 00333 (88.3%) | loss: 4.297385 | lrm: 0.52 | dt: 870ms | tok/sec: 18,823 | epoch: 1 | remaining: 34s    
step 00334 (88.6%) | loss: 4.306937 | lrm: 0.51 | dt: 859ms | tok/sec: 19,062 | epoch: 1 | remaining: 33s    
step 00335 (88.9%) | loss: 4.323544 | lrm: 0.50 | dt: 897ms | tok/sec: 18,264 | epoch: 1 | remaining: 32s    
step 00336 (89.2%) | loss: 4.337255 | lrm: 0.48 | dt: 852ms | tok/sec: 19,230 | epoch: 1 | remaining: 32s    
step 00337 (89.5%) | loss: 4.336738 | lrm: 0.47 | dt: 857ms | tok/sec: 19,108 | epoch: 1 | remaining: 31s    
step 00338 (89.8%) | loss: 4.310787 | lrm: 0.46 | dt: 854ms | tok/sec: 19,186 | epoch: 1 | remaining: 30s    
step 00339 (90.0%) | loss: 4.294212 | lrm: 0.45 | dt: 857ms | tok/sec: 19,113 | epoch: 1 | remaining: 29s    
step 00340 (90.3%) | loss: 4.289998 | lrm: 0.44 | dt: 858ms | tok/sec: 19,089 | epoch: 1 | remaining: 28s    
step 00341 (90.6%) | loss: 4.265759 | lrm: 0.43 | dt: 859ms | tok/sec: 19,073 | epoch: 1 | remaining: 27s    
step 00342 (90.9%) | loss: 4.251210 | lrm: 0.42 | dt: 850ms | tok/sec: 19,271 | epoch: 1 | remaining: 26s    
step 00343 (91.2%) | loss: 4.262397 | lrm: 0.41 | dt: 860ms | tok/sec: 19,055 | epoch: 1 | remaining: 26s    
step 00344 (91.5%) | loss: 4.281889 | lrm: 0.39 | dt: 846ms | tok/sec: 19,375 | epoch: 1 | remaining: 25s    
step 00345 (91.8%) | loss: 4.281380 | lrm: 0.38 | dt: 853ms | tok/sec: 19,214 | epoch: 1 | remaining: 24s    
step 00346 (92.0%) | loss: 4.285451 | lrm: 0.37 | dt: 846ms | tok/sec: 19,370 | epoch: 1 | remaining: 23s    
step 00347 (92.3%) | loss: 4.260707 | lrm: 0.36 | dt: 869ms | tok/sec: 18,846 | epoch: 1 | remaining: 22s    
step 00348 (92.6%) | loss: 4.266196 | lrm: 0.35 | dt: 853ms | tok/sec: 19,211 | epoch: 1 | remaining: 21s    
step 00349 (92.9%) | loss: 4.264685 | lrm: 0.34 | dt: 849ms | tok/sec: 19,304 | epoch: 1 | remaining: 20s    
step 00350 (93.2%) | loss: 4.249243 | lrm: 0.33 | dt: 854ms | tok/sec: 19,192 | epoch: 1 | remaining: 20s    
step 00351 (93.5%) | loss: 4.242871 | lrm: 0.32 | dt: 845ms | tok/sec: 19,395 | epoch: 1 | remaining: 19s    
step 00352 (93.7%) | loss: 4.215032 | lrm: 0.31 | dt: 845ms | tok/sec: 19,387 | epoch: 1 | remaining: 18s    
step 00353 (94.0%) | loss: 4.225128 | lrm: 0.29 | dt: 859ms | tok/sec: 19,081 | epoch: 1 | remaining: 17s    
step 00354 (94.3%) | loss: 4.220740 | lrm: 0.28 | dt: 854ms | tok/sec: 19,195 | epoch: 1 | remaining: 16s    
step 00355 (94.6%) | loss: 4.228406 | lrm: 0.27 | dt: 854ms | tok/sec: 19,190 | epoch: 1 | remaining: 15s    
step 00356 (94.9%) | loss: 4.258510 | lrm: 0.26 | dt: 846ms | tok/sec: 19,364 | epoch: 1 | remaining: 15s    
step 00357 (95.2%) | loss: 4.246420 | lrm: 0.25 | dt: 846ms | tok/sec: 19,363 | epoch: 1 | remaining: 14s    
step 00358 (95.4%) | loss: 4.222533 | lrm: 0.24 | dt: 859ms | tok/sec: 19,078 | epoch: 1 | remaining: 13s    
step 00359 (95.7%) | loss: 4.222765 | lrm: 0.23 | dt: 843ms | tok/sec: 19,436 | epoch: 1 | remaining: 12s    
step 00360 (96.0%) | loss: 4.219613 | lrm: 0.22 | dt: 861ms | tok/sec: 19,028 | epoch: 1 | remaining: 11s    
